Wort,TF-IDF-Score
herr,0.585422922616168
frau,0.2856536976471023
wissen,0.2585370267391199
sagen,0.2102470648481923
sehen,0.20281783994189578
schön,0.14449842442746785
kommen,0.12852559087893028
mann,0.12146782721794856
lassen,0.11775321476480029
glauben,0.1151529860475965
danken,0.11292421857570753
denken,0.10140891997094789
nehmen,0.09360823381933651
kind,0.08989362136618824
geben,0.08655047015835479
verstehen,0.08060709023331755
bleiben,0.08023562898800272
sprechen,0.07912124525205824
jawohl,0.07837832276142859
leben,0.07800686151611376
mensch,0.07429224906296548
abend,0.07280640408170617
weg,0.07020617536450238
jung,0.06983471411918755
stehen,0.06946325287387273
brauchen,0.06834886913792824
finden,0.06686302415666893
leutnant,0.06648703408214977
sache,0.06612010166603928
gott,0.06574864042072445
