Wort,TF-IDF-Score
herr,0.5571203036570804
wissen,0.27104711868793646
frau,0.2577548292853298
sagen,0.2357936554897187
sehen,0.17453353911248787
schön,0.16470880346708291
danken,0.13754629903566923
denken,0.12367608400686225
lassen,0.11731890211865906
leben,0.11211757148285643
glauben,0.11153964585665616
kommen,0.10980586897805528
bleiben,0.09362395144444713
kind,0.09304602581824684
verstehen,0.09246810019204654
eigentlich,0.09073432331344568
mann,0.09015639768724538
spielen,0.09015639768724538
alt,0.08784469518244423
abend,0.08726676955624393
mensch,0.08668884393004364
geben,0.08033166204184043
nehmen,0.07686410828463869
jung,0.07570825703223812
sprechen,0.07339655452743694
brauchen,0.0705069263964355
professor,0.06935107514403491
stehen,0.06819522389163434
warten,0.06646144701303346
weg,0.0641497445082323
