Wort,Log-Likelihood (G²),Freq
spielen,73.06045231710367,156
grüß,53.785256302247646,33
professor,50.23229434051993,120
künstler,35.51395667822642,25
sonne,29.22304075545491,31
theater,28.484404708318806,66
üben,28.081523831825475,18
stehlen,19.84436349718905,16
musik,19.47637333117246,52
warst,19.28815797138539,38
schauen,18.730492968931088,48
fräulein,18.072862426846058,71
engagieren,17.939037250431475,18
erobern,17.27582809202323,6
talent,16.65964661993695,12
besseres,16.65964661993695,12
eigentlich,16.00372017818877,157
geburtstag,15.765449311281902,23
innen,14.667831276833878,7
bahnhof,14.390368982780396,14
dame,14.207998236699567,88
direktor,13.891589994436188,70
stimmung,13.467528324661888,18
sitzen,13.217573508292936,91
sagen,13.10131898446889,408
blume,13.053957424360792,26
stören,12.945102662108901,48
bleib,12.844033933890646,11
trennen,12.585898088719793,15
bemerken,12.187771513969578,16
